persid,most_used_mode
Y24H5740102P01,Vehicle Passenger
Y24H5740102P02,Vehicle Driver
Y24H5740103P01,Vehicle Driver
Y24H5740104P01,Walking
Y24H5740109P01,Bicycle
Y24H5740109P02,Vehicle Driver
Y24H5740109P03,School Bus
Y24H5740109P04,School Bus
Y24H5740109P05,Walking
Y24H5740110P01,Vehicle Driver
Y24H5740110P03,Vehicle Passenger
Y24H5740111P01,Vehicle Driver
Y24H5740111P02,Vehicle Driver
Y24H5740117P01,Vehicle Driver
Y24H5740117P02,Vehicle Driver
Y24H5740119P01,Vehicle Driver
Y24H5740120P01,Vehicle Driver
Y24H5740123P01,Vehicle Driver
Y24H5740127P01,Vehicle Passenger
Y24H5740127P02,Vehicle Driver
Y24H5740128P01,Vehicle Driver
Y24H5740128P02,Vehicle Passenger
Y24H5740128P03,Vehicle Passenger
Y24H5740128P04,Vehicle Passenger
Y24H5740128P05,Vehicle Passenger
Y24H5740129P03,Vehicle Driver
Y24H5740131P01,Vehicle Driver
Y24H5740131P02,Vehicle Driver
Y24H5740131P03,School Bus
Y24H5740131P04,Vehicle Passenger
Y24H5740135P01,Vehicle Driver
Y24H5740135P02,Vehicle Passenger
Y24H5740135P03,Walking
Y24H5740135P04,Walking
Y24H5740305P01,Walking
Y24H5740309P01,Walking
Y24H5740309P02,Vehicle Driver
Y24H5740317P01,Vehicle Driver
Y24H5740317P02,Vehicle Passenger
Y24H5740318P01,Walking
Y24H5740326P01,Vehicle Driver
Y24H5740328P01,Vehicle Driver
Y24H5740331P01,Vehicle Driver
Y24H5740331P02,Vehicle Driver
Y24H5740337P01,Vehicle Driver
Y24H5740337P02,Train
Y24H5740340P01,Vehicle Driver
Y24H5740340P02,Vehicle Passenger
Y24H5740501P02,Walking
Y24H5740501P03,Walking
Y24H5740501P04,Walking
Y24H5740504P01,Vehicle Driver
Y24H5740505P01,Vehicle Driver
Y24H5740505P02,Public Bus
Y24H5740505P03,Public Bus
Y24H5740510P01,Vehicle Driver
Y24H5740510P02,Train
Y24H5740514P01,Vehicle Driver
Y24H5740517P01,Vehicle Driver
Y24H5740517P02,Vehicle Passenger
Y24H5740519P01,Vehicle Passenger
Y24H5740519P02,Vehicle Driver
Y24H5740519P03,Walking
Y24H5740520P01,Vehicle Driver
Y24H5740520P02,Vehicle Driver
Y24H5740522P02,Vehicle Driver
Y24H5740522P03,Public Bus
Y24H5740525P01,Vehicle Driver
Y24H5740525P03,Walking
Y24H5740525P04,Walking
Y24H5740529P01,Vehicle Driver
Y24H5740529P02,Walking
Y24H5740529P03,Vehicle Passenger
Y24H5740530P02,Vehicle Driver
Y24H5740530P03,Vehicle Passenger
Y24H5740532P01,Vehicle Driver
Y24H5740532P02,Vehicle Passenger
Y24H5740533P01,Vehicle Driver
Y24H5740533P02,Vehicle Driver
Y24H5740533P03,Vehicle Passenger
Y24H5740534P01,Vehicle Driver
Y24H5740536P01,Vehicle Driver
Y24H5740539P01,Vehicle Driver
Y24H5740539P02,Vehicle Passenger
Y24H5740541P01,Vehicle Passenger
Y24H5740541P02,Vehicle Driver
Y24H5750105P01,Vehicle Driver
Y24H5750106P01,Vehicle Driver
Y24H5750108P01,Vehicle Driver
Y24H5750108P02,Vehicle Driver
Y24H5750115P01,Walking
Y24H5750116P01,Vehicle Driver
Y24H5750117P01,Vehicle Driver
Y24H5750123P01,Vehicle Driver
Y24H5750123P02,Vehicle Driver
Y24H5750203P01,Vehicle Driver
Y24H5750204P01,Vehicle Driver
Y24H5750204P02,Vehicle Passenger
Y24H5750206P01,Vehicle Driver
Y24H5750206P02,Vehicle Passenger
Y24H5750206P03,Vehicle Passenger
Y24H5750206P04,Vehicle Passenger
Y24H5750206P05,Vehicle Passenger
Y24H5750207P01,Vehicle Passenger
Y24H5750207P02,Vehicle Driver
Y24H5750208P01,Vehicle Driver
Y24H5750208P02,Vehicle Driver
Y24H5750216P01,Vehicle Driver
Y24H5750216P03,Vehicle Passenger
Y24H5750217P01,Vehicle Driver
Y24H5750217P02,Vehicle Driver
Y24H5750218P01,Walking
Y24H5750224P01,Vehicle Driver
Y24H5750224P02,Vehicle Passenger
Y24H5750233P01,Vehicle Driver
Y24H5750233P03,Public Bus
Y24H5750234P01,Vehicle Passenger
Y24H5750234P02,Vehicle Driver
Y24H5750235P01,Vehicle Driver
Y24H5750235P02,Vehicle Driver
Y24H5750235P03,Vehicle Passenger
Y24H5750239P01,Vehicle Driver
Y24H5750239P03,Vehicle Driver
Y24H5750239P05,Vehicle Passenger
Y24H5750241P01,Vehicle Driver
Y24H5750241P02,Vehicle Passenger
Y24H5750309P02,Vehicle Driver
